#time,accel_x,accel_y,accel_z
7972.686640,3404.947333,4737.318029,-76456.330700
7972.689199,3404.947333,4293.194464,-75996.673402
7972.691758,3849.070898,3997.112087,-75383.797003
7972.694317,3701.029710,4293.194464,-76149.892501
7972.696876,3404.947333,4885.359217,-76149.892501
7972.699436,4589.276840,-2664.741391,-76762.768900
7972.701995,5033.400406,-17764.942608,-75843.454302
7972.704554,6809.894666,3849.070898,-73238.729609
7972.707113,-4589.276840,23538.548956,-77375.645298
7972.709675,5921.647536,-2072.576638,-77069.207099
7972.712236,3701.029710,-14656.077652,-77222.426198
7972.714798,-2516.700203,5033.400406,-77682.083497
7972.717360,2220.617826,19541.436869,-75690.235202
7972.719922,33161.226202,10214.842000,-74770.920605
7972.722483,31236.690752,-14211.954086,-76456.330700
7972.725045,-592.164754,6809.894666,-75996.673402
7972.727607,-13767.830521,21762.054695,-74617.701505
7972.730168,2516.700203,-7698.141797,-73698.386908
7972.732730,21614.013506,-5625.565159,-74770.920605
7972.735292,-3108.864956,11103.089130,-77835.302597
7972.737854,-15692.365970,17320.819043,-79061.055394
7972.740415,-4737.318029,14804.118840,-76915.987999
7972.742977,3849.070898,2368.659014,-75690.235202
7972.745539,-3256.906145,-12879.583391,-76762.768900
7972.748100,-9770.718434,5773.606348,-74464.482406
7972.750662,-9918.759623,10362.883188,-76609.549800
7972.753224,2072.576638,17764.942608,-76303.111601
7972.755786,12731.542202,-3108.864956,-77835.302597
7972.758347,5773.606348,13175.665768,-75383.797003
7972.760909,-12287.418637,6957.935855,-76456.330700
7972.763471,-5033.400406,-10510.924376,-77069.207099
7972.766032,16728.654289,2368.659014,-74617.701505
7972.768594,6513.812290,12287.418637,-75690.235202
7972.771156,-11843.295072,5921.647536,-76303.111601
7972.773717,-12287.418637,0.000000,-76456.330700
7972.776279,9622.677246,10658.965565,-73698.386908
7972.778841,11547.212695,10955.047942,-75843.454302
7972.781403,-1036.288319,10214.842000,-79061.055394
7972.783964,-3552.988522,10807.006753,-74464.482406
7972.786526,-2812.782580,9178.553681,-72932.291410
7972.789088,888.247130,-9474.636058,-75690.235202
7972.791651,-25759.166782,-5625.565159,-80593.246390
7972.794215,-12287.418637,17320.819043,-78448.178995
7972.796778,9178.553681,6809.894666,-76303.111601
7972.799342,12731.542202,-5921.647536,-76303.111601
7972.801905,3701.029710,10362.883188,-74464.482406
7972.804468,-8438.347739,16284.530724,-73391.948708
7972.807032,7994.224174,3701.029710,-74924.139704
7972.809595,11991.336260,5477.523971,-76149.892501
7972.812159,10658.965565,13175.665768,-74311.263306
7972.814722,22946.384202,-5773.606348,-74464.482406
7972.817286,-7698.141797,3404.947333,-75690.235202
7972.819849,-17024.736666,30200.402434,-75690.235202
7972.822413,-592.164754,-11547.212695,-77988.521696
7972.824976,11103.089130,-7994.224174,-76762.768900
7972.827539,3701.029710,-3108.864956,-77528.864398
7972.830103,-3404.947333,14656.077652,-75230.577904
7972.832666,26795.455100,8586.388927,-73698.386908
7972.835230,32124.937883,-12435.459826,-73545.167808
7972.837793,6217.729913,11103.089130,-74464.482406
7972.840357,-14508.036463,4737.318029,-78907.836294
7972.842920,-17764.942608,-5181.441594,-79520.712692
7972.845484,1332.370696,4145.153275,-77222.426198
7972.848047,-1036.288319,11399.171507,-76609.549800
7972.850611,6365.771101,-4885.359217,-75690.235202
7972.853174,13323.706956,4441.235652,-74004.825107
7972.855737,16432.571912,5625.565159,-74158.044206
7972.858301,9770.718434,11399.171507,-74770.920605
7972.860864,3256.906145,3849.070898,-75843.454302
7972.863428,-13323.706956,5329.482782,-80133.589091
7972.865991,-888.247130,19245.354492,-77528.864398
7972.868555,11103.089130,3108.864956,-75843.454302
7972.871118,4145.153275,12435.459826,-74311.263306
7972.873682,-3997.112087,14359.995275,-75690.235202
7972.876245,-4441.235652,-5921.647536,-77528.864398
7972.878809,14656.077652,-3256.906145,-75383.797003
7972.881372,7846.182985,148.041188,-77222.426198
7972.883935,-1184.329507,2220.617826,-77528.864398
7972.886499,6069.688724,9326.594869,-76303.111601
