#time,accel_x,accel_y,accel_z
11043.873206,-2220.617826,7698.141797,-77222.426198
11043.875796,1036.288319,7994.224174,-75537.016103
11043.878385,-15692.365970,-9474.636058,-75537.016103
11043.880974,5033.400406,-9326.594869,-74617.701505
11043.883563,21910.095883,11843.295072,-72012.976812
11043.886152,-21614.013506,9770.718434,-77375.645298
11043.888741,-24574.837274,-592.164754,-77528.864398
11043.891357,-2516.700203,1776.494261,-76915.987999
11043.893974,12731.542202,-5477.523971,-75230.577904
11043.896590,10510.924376,6661.853478,-74158.044206
11043.899206,-9326.594869,13619.789333,-74924.139704
11043.901822,-6957.935855,-2072.576638,-76149.892501
11043.904438,1628.453072,13175.665768,-76762.768900
11043.907055,-592.164754,740.205942,-77069.207099
11043.909671,-9770.718434,3849.070898,-74617.701505
11043.912287,10066.800811,444.123565,-75077.358804
11043.914903,16284.530724,5921.647536,-74924.139704
11043.917519,6809.894666,7105.977043,-76149.892501
11043.920135,592.164754,5329.482782,-76149.892501
11043.922752,-8142.265362,8586.388927,-75230.577904
11043.925368,-10362.883188,-6513.812290,-76609.549800
11043.927984,1036.288319,7698.141797,-75690.235202
11043.930600,-740.205942,10658.965565,-73085.510509
11043.933216,148.041188,-14952.160028,-74158.044206
11043.935833,3256.906145,2072.576638,-75996.673402
11043.938449,14952.160028,9622.677246,-77682.083497
11043.941065,-17912.983796,7994.224174,-80899.684589
11043.943681,-740.205942,8882.471304,-76456.330700
11043.946297,-1776.494261,10658.965565,-75537.016103
11043.948914,2368.659014,10955.047942,-75077.358804
11043.951530,14952.160028,11695.253884,-74311.263306
11043.954146,2664.741391,21910.095883,-75996.673402
11043.956762,-19245.354492,16432.571912,-78448.178995
11043.959378,296.082377,-148.041188,-74311.263306
11043.961995,12287.418637,16876.695478,-72932.291410
11043.964611,7550.100608,-7550.100608,-74464.482406
11043.967227,8882.471304,-5033.400406,-76149.892501
11043.969843,1332.370696,17468.860231,-76762.768900
11043.972459,-14508.036463,-3997.112087,-75230.577904
11043.975075,-1924.535449,5921.647536,-76149.892501
11043.977692,8882.471304,9918.759623,-74770.920605
11043.980308,-2664.741391,16876.695478,-75077.358804
11043.982924,-10362.883188,11251.130318,-76915.987999
11043.985540,-12139.377449,-2368.659014,-77528.864398
11043.988156,-2368.659014,-4589.276840,-76149.892501
11043.990773,5181.441594,4293.194464,-76609.549800
11043.993389,-12879.583391,3404.947333,-76149.892501
11043.996019,-9474.636058,1628.453072,-76303.111601
11043.998649,7402.059420,3108.864956,-75843.454302
11044.001279,1184.329507,19245.354492,-75230.577904
11044.003909,-22650.301825,2516.700203,-75843.454302
11044.006539,-22798.343014,-6365.771101,-76609.549800
11044.009169,1924.535449,-7254.018232,-75537.016103
11044.011799,11843.295072,9474.636058,-75383.797003
11044.014429,-22206.178260,20873.807564,-77835.302597
11044.017059,-27239.578666,-2812.782580,-77222.426198
11044.019689,6069.688724,-2072.576638,-75230.577904
11044.022319,15840.407159,14359.995275,-74004.825107
11044.024949,-8882.471304,-4885.359217,-76149.892501
11044.027579,-11251.130318,1036.288319,-77222.426198
11044.030209,8290.306550,11547.212695,-74004.825107
11044.032839,5181.441594,-7402.059420,-75077.358804
11044.035470,-444.123565,4885.359217,-76149.892501
11044.038100,6513.812290,-4737.318029,-73391.948708
11044.040730,-3997.112087,-6957.935855,-76303.111601
11044.043360,-1036.288319,-1480.411884,-77988.521696
11044.045990,8142.265362,14952.160028,-73391.948708
11044.048620,-148.041188,-9326.594869,-75077.358804
11044.051250,-740.205942,-2368.659014,-75843.454302
11044.053880,-5181.441594,14952.160028,-75383.797003
11044.056510,-4737.318029,888.247130,-77069.207099
11044.059140,-13619.789333,15988.448347,-76149.892501
11044.061770,-27535.661042,4737.318029,-76303.111601
11044.064400,-8142.265362,-5329.482782,-77222.426198
