#time,accel_x,accel_y,accel_z
11498.895068,-13915.871710,3256.906145,-71400.100414
11498.897689,14952.160028,7698.141797,-72166.195912
11498.900310,-4441.235652,25167.002028,-79827.150892
11498.902931,-54775.239708,4441.235652,-85496.257577
11498.905552,-8586.388927,740.205942,-79214.274493
11498.908173,26943.496289,7698.141797,-68948.594820
11498.910794,12879.583391,15692.365970,-70787.224015
11498.913415,14656.077652,-1332.370696,-76609.549800
11498.916036,10362.883188,-1776.494261,-77835.302597
11498.918657,-9770.718434,14063.912898,-78294.959896
11498.921277,-26351.331535,5329.482782,-76149.892501
11498.923916,-6661.853478,-2960.823768,-75230.577904
11498.926555,-1924.535449,16136.489536,-74770.920605
11498.929193,-15692.365970,8734.430116,-76915.987999
11498.931832,15692.365970,6809.894666,-73391.948708
11498.934470,47521.221476,-3256.906145,-74004.825107
11498.937109,1776.494261,3108.864956,-79061.055394
11498.939747,-20725.766376,17912.983796,-77069.207099
11498.942386,16580.613101,24426.796086,-69255.033019
11498.945025,32865.143825,-5329.482782,-70174.347617
11498.947663,10066.800811,-22798.343014,-77375.645298
11498.950302,-8734.430116,3849.070898,-79827.150892
11498.952940,-18801.230927,32272.979071,-74924.139704
11498.955579,5033.400406,4293.194464,-68948.594820
11498.958217,3404.947333,-18801.230927,-76609.549800
11498.960856,444.123565,6661.853478,-78448.178995
11498.963495,-22502.260637,14359.995275,-78448.178995
11498.966133,23686.590144,17764.942608,-75537.016103
11498.968772,34789.679274,3849.070898,-75383.797003
11498.971410,-12435.459826,6661.853478,-75996.673402
11498.974049,-9178.553681,12583.501014,-73085.510509
11498.976687,8142.265362,7846.182985,-73545.167808
11498.979326,4589.276840,-8290.306550,-78907.836294
11498.981965,-20281.642811,20577.725188,-80899.684589
11498.984603,-33753.390955,19837.519246,-76609.549800
11498.987242,21762.054695,9326.594869,-69867.909418
11498.989880,46040.809592,-7550.100608,-71859.757712
11498.992519,3404.947333,-2072.576638,-78448.178995
